Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
215,Kiribati,Pacific Region,11,11,63,6,5.73,19
216,Svalbard and Jan Mayen,Western Europe,10,10,35,0,3.5,15
217,Virgin Islands (British),Latin America,10,10,22,2,2.2,36
218,American Samoa,Pacific Region,9,8,4,0,0.44,33
219,Saint Martin (Dutch),Latin America,9,8,17,0,1.89,3
220,Montserrat,Latin America,9,8,15,1,1.67,36
221,Saint Helena,Africa,8,8,53,3,6.63,14
222,Turks and Caicos Islands,Latin America,5,4,66,1,13.2,25
223,Mayotte,Africa,4,4,3,0,0.75,16
224,Cook Islands,Pacific Region,4,4,9,0,2.25,29
225,Bouvet Island,Western Europe,3,3,0,0,0,3
226,Saint Martin (French),Latin America,3,3,4,0,1.33,1
227,British Indian Ocean Territory,Africa,2,2,251,0,125.5,13
228,South Georgia and the South Sandwich Islands,Latin America,2,2,3,0,1.5,6
229,Saint Pierre and Miquelon,Northern America,2,2,119,0,59.5,3
230,Tuvalu,Pacific Region,2,1,7,0,3.5,15
231,Wallis and Futuna,Pacific Region,1,0,0,0,0,8
232,Norfolk Island,Pacific Region,1,1,0,0,0,10
233,Nauru,Pacific Region,1,0,1,0,1,12
234,Netherlands Antilles,Latin America,1,0,0,0,0,61
235,Western Sahara,Africa,1,1,0,0,0,6
